Designator,Mid X,Mid Y,Rotation,Layer
C1,75.481646,-34.3023,270.0,top
C10,5.859386,-51.17488,180.0,top
C11,8.440026,-51.66764,270.0,top
C2,59.92114,-49.8348,0.0,top
C3,37.42118,-49.4309,180.0,top
C5,80.140386,-61.57618,0.0,top
C7,5.418666,-27.0528,270.0,top
C8,10.696786,-56.02374,90.0,top
C9,10.068166,-51.66764,270.0,top
D1,37.48786,-37.70224,270.0,top
D2,32.09544,-49.61636,180.0,top
D3,77.963246,-53.54978,0.0,top
IC1,36.78142,-46.66996,180.0,top
J1,86.294426,-34.2134,90.0,top
J10,62.553426,-16.33878,180.0,top
J11,55.700506,-3.94716,0.0,top
J12,50.718486,-60.72962,180.0,top
J13,61.691726,-60.74052,180.0,top
J14,28.707866,-60.72962,180.0,top
J15,39.729366,-60.72962,180.0,top
J16,72.682306,-60.75498,0.0,top
J17,29.995986,-38.44536,90.0,top
J2,83.344426,-45.80024,180.0,top
J3,87.144426,-57.1769,90.0,top
J4,84.8437,-16.30576,180.0,top
J5,77.81544,-3.91414,0.0,top
J6,40.278553,-16.33878,180.0,top
J7,33.250293,-3.94716,0.0,top
J8,18.00868,-16.33878,180.0,top
J9,10.96772,-3.94716,0.0,top
L1,46.14418,-41.0972,270.0,top
LED1,18.162206,-59.39432,180.0,top
R1,33.81184,-46.66996,90.0,top
R10,83.381426,-25.33292,0.0,top
R11,83.409366,-26.88994,0.0,top
R12,38.72738,-25.60574,0.0,top
R13,38.735,-27.16022,0.0,top
R14,17.2847,-26.27884,90.0,top
R15,19.84756,-26.27884,90.0,top
R16,61.00572,-25.35682,0.0,top
R17,61.00572,-26.92146,0.0,top
R18,48.960666,-56.2897,180.0,top
R19,59.865966,-56.3006,180.0,top
R2,28.72764,-49.61636,0.0,top
R20,26.906366,-56.2897,180.0,top
R21,38.108846,-56.2897,180.0,top
R3,5.181206,-55.52209,90.0,top
R4,6.067666,-52.99606,180.0,top
R5,2.069706,-56.37172,180.0,top
R6,11.725326,-52.63284,90.0,top
R7,13.28412,-52.62626,90.0,top
R8,14.83106,-52.61102,90.0,top
R9,28.804446,-47.72302,180.0,top
SW1,1.635366,-52.78016,270.0,top
SW2,1.898226,-27.2557,270.0,top
U1,63.0728,-38.40856,0.0,top
U2,7.926946,-56.02374,270.0,top
U3,16.406626,-39.88996,90.0,top
U4,77.81544,-16.30576,90.0,top
U5,33.250293,-16.33878,90.0,top
U6,10.96772,-16.33878,90.0,top
U7,55.532866,-16.33878,90.0,top
